Manufacturers Name,Business Name,Date Of Accident,Time Of Accident,AM,PM,Vehicle Year,Make,Model,License Plate Number,Vehicle Identification Number,State Vehicle Is Registered In,Address Of Accident,City,County,State,Zip Code,Moving,Stopped In Traffic,Pedestrian Involved,Bicyclist Involved,Undefined,Other,Number Of Vehicles Involved,Damage: Unknown,Damage: None,Damage: Minor,Damage: Moderate,Damage: Major,Click 1,Left Rear 1,Rear Bumper,Right Rear 1,Left Rear 2,Left Rear 3,Right Rear 2,Right Rear 3,Left Rear Passenger 1,Left Rear Passenger 2,Right Rear Passenger 1,Right Rear Passenger 2,Left Rear Passenger 3,Left Rear Passenger 4,Right Rear Passenger 3,Right Rear Passenger 4,Front Driver Side 1,Front Driver Side 2,Front Passenger Side 1,Front Passenger Side 2,Front Driver Side 3,Front Driver Side 4,Front Passenger Side 3,Front Passenger Side 4,Left Front Corner 1,Left Front Corner 2,Right Front Corner 1,Right Front Corner 2,Left Front Corner 3,Front Bumper,Model_2,License Plate Number_2,Vehicle Identification Number_2,State Vehicle Is Registered In_2,Moving_2,Stopped In Traffic_2,Pedestrian_2,Bicyclist_2,Undefined_2,Other_2,Number Of Vehicles Involved_2,Drivers Full Name First Middle Last_2,Conventional Mode,Accident Detail Description,Additional Information Attached_3,Weather A 1,Weather A 2,Weather B 1,Weather B 2,Weather C 1,Weather C 2,Weather D 1,Weather D 2,Weather E 1,Weather E 2,Weather F 1,Weather F 2,Weather G 1,Weather G 2,Lighting A 1,Lighting A 2,Lighting B 1,Lighting B 2,Lighting C 1,Lighting C 2,Lighting D 1,Lighting D 2,Lighting E 1,Lighting E 2,Roadway A 1,Roadway A 2,Roadway B 1,Roadway B 2,Roadway C 1,Roadway C 2,Roadway D 1,Roadway D 2,Road Conditions A 1,Road Conditions A 2,Road Conditions B 1,Road Conditions B 2,Road Conditions C 1,Road Conditions C 2,Road Conditions D 1,Road Conditions D 2,Road Conditions E 1,Road Conditions E 2,Road Conditions F 1,Road Conditions F 2,Road Conditions G 1,Road Conditions G 2,Road Conditions H 1,Road Conditions H 2,Movement A 1,Movement A 2,Movement  B 1,Movement  B 2,Movement C 1,Movement C 2,Movement  D 1,Movement  D 2,Movement  E 1,Movement  E 2,Movement  F 1,Movement  F 2,Movement  G 1,Movement  G 2,Movement  H 1,Movement  H 2,Movement  I 1,Movement  I 2,Movement J 1,Movement J 2,Movement  K 1,Movement  K 2,Movement  L 1,Movement  L 2,Movement  M 1,Movement  M 2,Movement  N 1,Movement  N 2,Movement  O 1,Movement  O 2,Movement  P 1,Movement  P 2,Movement  Q 1,Movement  Q 2,Movement  R 1,Movement  R 2,Type A 1,Type A 2,Type B 1,Type B 2,Type C 1,Type C 2,Type D 1,Type D 2,Type E 1,Type E 2,Type F 1,Type F 2,Type G 1,Type G 2,Type H 1,Type H 2,Other A Yes,Other A No,Other B,Other C,Other D,Other E,Other F,Other G,Other H Yes,Other H No,Other I,Other J,Other K,Other L,Right Front Corner 3,Vehicle Year_2,Autonomous Mode,Latitude,Longitude,Narrow Roadway,Parked Vehicles,Intersection,Struck by Others,Other Party
Waymo LLC,Waymo LLC,4/17/2021,4:03,Yes,,2017.0,Chrysler,Pacifica,,,CA,Harrison Street at Hawthorne Street,San Francisco,San Francisco,CA,94107.0,Yes,,,,,,2,,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nissan Sentra,,,CA,Yes,,,,,,2.0,,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling southbound on Harrison Street approaching Hawthorne Street in San Francisco was involved in a collision. While in manual mode, the Waymo AV’s test driver was braking for a red light at Hawthorne Street when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately 12 MPH. The Waymo AV was traveling approximately 2 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene.",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7621,-122.3971,-1,0,1,1,1
Waymo LLC,Waymo LLC,4/18/2021,4:00,,Yes,2017.0,Chrysler,Pacifica,,,CA,Park Presidio Bypass approaching Crossover Drive,San Francisco,San Francisco,CA,94121.0,,Yes,,,,,2,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dodge Ram,,,CA,Yes,,,,,,2.0,,,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling southbound on Park Presidio Bypass approaching Crossover Drive in San Francisco was involved in a collision. While in autonomous mode, the Waymo AV was stationary in stop-and-go traffic when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately 5 MPH. The Waymo AV was traveling 0 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7786,-122.4892,-1,0,0,1,1
Cruise LLC,Cruise,4/21/2021,12:38,,Yes,2020.0,Chevrolet,Bolt,,,CA,1401 15th St,San Francisco,San Francisco,CA,94103.0,Yes,,,,,,2,,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silverado,,,CA,Yes,,,,,,2.0,,,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode was turning from Southbound on Folsom Street to Westbound on 15th Street. When the Cruise AV stopped to yield for an oncoming vehicle, a Chevrolet Silverado that was traveling behind made contact with the rear bumper of the Cruise AV. This caused damage to the rear bumper of the Cruise AV. At the time of the incident, the driver of the Cruise AV reported a minor injury, but emergency services were not called. ",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.766846,-122.415609,-1,0,1,1,2
Zoox Inc,Zoox Inc.,5/11/2021,5:13,,Yes,2016.0,Toyota,Highlander,,,CA,Kearny St. and Columbus Ave. Intersection,San Francisco,San Francisco,CA,94133.0,Yes,,,,Yes,Vehicle,1,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ford Fusion,,,CA,Yes,,,,Yes,Vehicle,1.0,,,A Zoox vehicle in autonomous mode began to slow down during an unprotected left turn to yield for cross traffic entering the lane from the right. A passenger vehicle from behind did not slow and made contact with the rear sensors of the Zoox vehicle. There were no injuries and the police were not called.,,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8002,-122.4091,-1,0,0,1,1
Cruise LLC,Cruise,5/11/2021,3:59,,Yes,2020.0,Chevrolet,Bolt,,,CA,901 Castro St,San Francisco,San Francisco,CA,94114.0,,Yes,,,,,2,,,Yes,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colorado,,,CA,Yes,,,,,,2.0,,,"A Cruise autonomous vehicle (Cruise AV), operating in autonomous mode, was stopped at a stop sign at the four way intersection of Castro and 22nd Streets. A 2017 Chevy Colorado that was traveling behind the Cruise AV made contact with the rear bumper of the Cruise AV. This caused damage to the rear bumper of the Cruise AV. There were minor injuries but the police were not called.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.754377,-122.434279,-1,0,1,1,2
Cruise LLC,Cruise,5/17/2021,1:27,,Yes,2020.0,Chevrolet,Bolt,,,CA,1201 Guerrero St,San Francisco,San Francisco,CA,94110.0,,Yes,,,,,2,,,Yes,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Toyota Sienna,,,CA,Yes,,,,,,,,,"A Cruise autonomous vehicle, operating in autonomous mode, was traveling northbound on Guerrero Street. The Cruise AV was making a right turn onto 24th Street when a 2004 Toyota Sienna that was traveling straight on Guerrero made contact with the rear driver bumper of the Cruise AV. This caused damage to the rear driver bumper and wheel well of the Cruise AV. There were no injuries and police were not called.  ",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7518272,-122.4230167,-1,0,1,1,1
Waymo LLC,Waymo LLC,5/23/2021,2:42,,Yes,2021.0,Jaguar,I-Pace,,,CA,Sanchez Street at 16th Street,San Francisco,San Francisco,CA,94114.0,,Yes,,,,,2,,,Yes,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Honda Fit,,,CA,Yes,,,,,,2.0,,,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling northbound on Sanchez Street at 16th Street in San Francisco was involved in a collision. While in autonomous mode, the Waymo AV was stationary for a red light when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately 7 MPH. The Waymo AV was traveling 0 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7587,-122.433,-1,0,1,1,1
Cruise LLC,Cruise,5/31/2021,9:37,Yes,,2020.0,Chevrolet,Bolt,,,CA,1418 7th Av,San Francisco,San Francisco,CA,94112.0,Yes,,,,,,1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,Yes,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was traveling northbound on 7th Ave between Judah and Kirkham Streets. The Cruise AV made contact with a steel drain cover while traveling over the cover. Contact was made at the undercarriage of the Cruise AV. This caused damage to the undercarriage of the Cruise AV. There were no injuries and police were not called.",,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,37.761853,-122.4639092,0,0,0,0,0
Waymo LLC,Waymo LLC,6/2/2021,9:10,Yes,,2021.0,Jaguar,I-Pace,,,MI,Buchanan Street and Vallejo Street,San Francisco,San Francisco,CA,94123.0,Yes,,,,,,2,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,BMW 328i,,,CA,,,,,,,2.0,,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling northbound on Buchanan Street toward Green Street in San Francisco was involved in a collision. While in manual mode and parked parallel to the curb on Buchanan Street, the Waymo AV test driver accelerated from the stationary position and made contact with an unoccupied parked passenger vehicle in front of it. The Waymo AV sustained moderate damage to its front bumper and grille, and the unoccupied parked passenger vehicle’s sustained moderate damage to rear bumper and trunk. No injuries were reported at the scene.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7999,-122.4342,-1,1,0,0,1
Waymo LLC,Waymo LLC,6/2/2021,9:00,Yes,,2021.0,Jaguar,I-Pace,,,CA,Eugenia Avenue at Elsie Street,San Francisco,San Francisco,CA,94110.0,Yes,,,,,,2,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Ford Ranger,,,CA,,,,,,,2.0,,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling eastbound in reverse on Eugenia Avenue at Elsie Street in San Francisco was involved in a collision. While in manual mode, the Waymo AV test driver was backing up on a narrow street in order to make room for an oncoming passenger vehicle to pass. As the Waymo AV test driver reversed, the Waymo AV’s rear passenger’s side sensor housing came in contact with an unoccupied parked passenger vehicle’s driver’s side rear fender. The Waymo AV was traveling approximately 1 MPH. The Waymo AV sustained minor damage to its rear passenger’s side sensor housing, and the unoccupied parked passenger vehicle’s sustained minor damage to its driver’s side rear fender. No injuries were reported at the scene.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7509,-122.4153,1,1,1,0,1
Waymo LLC,Waymo LLC,6/3/2021,5:52,,Yes,2017.0,Chrysler,Pacifica,,,CA,Laguna Street at Vallejo Street,San Francisco,San Francisco,CA,94123.0,,Yes,,,,,2,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toyota Prius,,,CA,Yes,,,,,,2.0,,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling northbound on Laguna Street at Vallejo Street in San Francisco was involved in a collision. While in manual mode, the Waymo AV test driver stopped at the four-way stop sign intersection on Laguna Street at Vallejo Street when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately 2 MPH. The Waymo AV was traveling 0 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle left the scene before exchanging information. No injuries were reported at the scene.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7999,-122.4342,0,0,1,1,1
Waymo LLC,Waymo LLC,6/4/2021,1:18,,Yes,2021.0,Jaguar,I-Pace,,,CA,Jones Street at Ellis Street,San Francisco,San Francisco,CA,94102.0,Yes,,,,,,2,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bicycle,,,,Yes,,,Yes,,,,,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling in manual mode southbound on Jones Street at Ellis Street in San Francisco when a cyclist fell while passing between the Waymo AV and another vehicle. The Waymo AV test driver was traveling approximately 15 MPH and then gradually slowed and came to a stop for a passenger vehicle in its lane making a right turn onto Ellis Street. A cyclist following the Waymo AV at approximately 19 MPH then attempted to pass the Waymo AV on the left side and travel between the Waymo AV’s driver’s side and a faster-moving passenger vehicle in the left adjacent lane. As the cyclist attempted to overtake the Waymo AV and was in turn being overtaken by the adjacent passenger vehicle, the cyclist fell between the two vehicles. As the bicycle was falling, the bicycle’s front tire appears to have made contact with the rear driver’s side wheel of the Waymo AV, and the cyclist appears to have made contact with the side of the other passenger vehicle in the left adjacent lane. The Waymo AV sustained no damage. The passenger vehicle did not stop and left the scene. The cyclist was transported from the scene and reportedly treated for potential head injuries. ",,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,37.7813,-122.4167,0,0,1,1,4
Waymo LLC,Waymo LLC,6/11/2021,7:07,Yes,,2021.0,Jaguar,I-Pace,,,CA,Euclid Avenue at Collins Street,San Francisco,San Francisco,CA,94118.0,Yes,,,,,,1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,Yes,Yes,,,,,,,,,,,,,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling in manual mode westbound on Euclid Avenue in San Francisco when it was involved in a collision. The test driver failed to properly navigate a roundabout median at Collins Street and made contact with it at approximately 28 MPH. The Waymo AV sustained moderate damage to its front bumper and undercarriage, and the median sustained minor damage. No injuries were reported at the scene.",,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,,,,,,,,,,,,,,37.7812,-122.4614,0,0,1,0,0
Waymo LLC,Waymo LLC,6/16/2021,5:48,,Yes,2021.0,Jaguar,I-Pace,,,CA,McAllister Street and Larkin Street,San Francisco,San Francisco,CA,94102.0,Yes,,,,,,2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Motorized Scooter,,,,Yes,,,,Yes,Motorized Scooter,2.0,,Yes,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling in manual mode at the intersection of McAllister Street and Larkin Street in San Francisco when it was involved in a collision. The Waymo AV was initially traveling eastbound on McAllister Street in autonomous mode, approaching the intersection at Larkin Street. When the Waymo AV reached the near-side crosswalk in the dedicated left turn lane, it came to a complete stop at the red traffic light. When the traffic light turned green, the Waymo AV moved forward slightly, partially entering the crosswalk, to begin staging for the turn, yielding to oncoming traffic and other road users. While waiting for an adequate clearance in traffic, the traffic light turned yellow. The Waymo AV remained stopped, declining to proceed into the intersection and make the left turn. While the AV was still stopped, the test driver took over manual control and proceeded to make the left turn. About 4 seconds later, the manually driven Waymo AV made contact with an individual riding a motorized scooter who had entered the crosswalk from the sidewalk at about 10 MPH against both vehicle and pedestrian traffic signals. The motorized scooter was traveling about 6 MPH and the Waymo AV was traveling about 7 MPH at the time of contact. The Waymo AV sustained minor damage to its front license plate. The individual on the motorized scooter appeared to have sustained unknown soft tissue injuries, but left the scene independently.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,37.780758,-122.416946,0,0,1,1,4
Waymo LLC,Waymo LLC,6/25/2021,9:50,,Yes,2021.0,Jaguar,I-Pace,,,CA,Brannan Street at Division Street,San Francisco,San Francisco,CA,94103.0,,Yes,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,BMW 5-Series,,,,Yes,,,,,,2.0,,,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling in autonomous mode at the intersection of Brannan Street and Division Street in San Francisco when it was involved in a collision. The Waymo AV was stopped in traffic for a red traffic light on southbound Brannan Street at Division Street when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately less than 1 MPH. The Waymo AV was stationary. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle left the scene before exchanging information. No injuries were reported at the scene.",,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.7725,-122.4147,-1,0,1,1,1
Waymo LLC,Waymo LLC,6/26/2021,12:35,Yes,,2021.0,Jaguar,I-Pace,,,CA,3023 21st Street,San Francisco,San Francisco,CA,94110.0,,Yes,,,,,2,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,CA,Yes,,,,,,2.0,,,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling in autonomous mode on westbound 21st Street heading toward Shotwell Street in San Francisco when it was involved in a collision. The Waymo AV was stopped behind a passenger vehicle that was double-parked and also was yielding to an oncoming passenger vehicle traveling eastbound on 21st Street. As the oncoming passenger vehicle approached the Waymo AV, it made contact with the Waymo AV’s front bumper at approximately 4 MPH. The Waymo AV was stationary. The Waymo AV sustained minor damage to its front bumper. The passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene.",,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.757185,-122.4150432,1,1,0,1,1
Weride Corp,Weride Corp,6/29/2021,2:54,,Yes,2019.0,Nissan ,Leaf,,,CA,280 S 1st Street,San Jose,Santa Clara,CA,95113.0,Yes,,,,,,2,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,Yes,,,Mercedes-B E300,,,CA,Yes,,,,,,2.0,,Yes,"On June 29th 2021 at approximately 2:54 PM our safety driver was driving manually down First Street ( a one way street) from San Carlos Street  on a sunny day at 20 MPH in downtown San Jose. While proceeding straight down First street, a car parallel to our vehicle initiated a sudden lane change and began moving towards our vehicle from the bus only lane at about 10 MPH. At this point, our driver held the horn down and applied the brakes.  Our driver was unable to avoid the other vehicle due to the limited amount of space between our vehicle and the other vehicle, and the side curb to the left. At this time the car was struck; collision was unavoidable. During this time, our driver was approached by the occupants of the vehicle and information was exchanged. They said they were going to back up into the parking lot as security said they couldn't stop there. Our driver attempted to back up but due to a grinding noise, stopped. At this point our driver went to continue to get information but the occupants walked off and he couldn't abandon the vehicle.  There was moderate damage to our vehicle on the front bumper and passenger side wheel well in the form of deep dents and a small portion of the passenger side front bumper detached.  The glass covering the passenger side headlight was damaged as well.  The other vehicle sustained minor damage on the driver side front wheel well in the form of dents. ",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,Yes,2017.0,,37.3318737,-121.8868892,[1],[1],[0],[1],[1]
"Argo AI, LLC",Argo AI,7/1/2021,3:19,,Yes,2019.0,Ford,Fusion,,,MI, El Camino/Page Mill RD,Palo Alto,Santa Clara,CA,94304.0,,Yes,,,,,2,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ford,,,CA,Yes,,,,,,2.0,,Yes,"An Argo AI Autonomous Vehicle (“Argo AV”) traveling southbound in manual mode on El Camino Real was involved in a collision. As the Argo AV was attempting to make a right turn from El Camino Real onto Page Mill Road, a pedestrian entered the crosswalk. Argo’s Vehicle Operator brought the vehicle to a complete stop and the vehicle directly behind the Argo AV made contact with the Argo AV’s rear bumper. The Argo AV sustained minor damage to its rear bumper. The police were not called. The evening after the incident, minor injuries were reported by the Argo Vehicle Operator located in the right seat. ",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,2014.0,,37.4225403,-122.1426996,-1,0,1,1,5
Cruise LLC,Cruise,7/1/2021,8:21,Yes,,2020.0,Chevrolet,Bolt,,,CA,400 Block of 6th St,San Francisco,San Francisco,CA,94103.0,,Yes,,Yes,,,1,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,"A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode, was stopped at a red light on northbound 6th Street at the intersection with Harrison Street when a lane-splitting cyclist made contact with the Cruise AV’s right side mirror, damaging the mirror. The cyclist did not stop. There were no injuries and police were not called.",,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.7725,-122.4147,-1,0,1,1,4
"Argo AI, LLC",Argo AI,7/8/2021,9:18,Yes,,2019.0,Ford,Fusion,,,MI,Stanford Ave/Bowdoin St,Palo Alto,Santa Clara,CA,94304.0,Yes,,,,,,2,,,Yes,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Honda CR-V,,,CA,Yes,,,,,,2.0,,,"An Argo AI Autonomous Vehicle (""Argo AV"") traveling northeast bound on Stanford Ave was involved in a collision. The Argo AV came to a complete stop at the stop sign located at the intersection of Stanford Ave and Bowdoin Ave. When the Argo AV began to accelerate the vehicle directly behind the Argo AV made contact with the Argo AV's rear bumper. The Argo AV sustained minor damage to its rear bumper. No injuries were reported at the scene and the police were not contacted.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0,Yes,37.4334,-122.1842,0,0,1,1,0
Waymo LLC,Waymo LLC,7/9/2021,2:40,,Yes,2021.0,Jaguar,I-Pace,,,CA,Bush Street and Grant Avenue,San Francisco,San Francisco,CA,94108.0,,Yes,,,,,2,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toyota Corolla,,,CA,,,,,,,2.0,,,"A Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle at Bush Street and Grant Avenue. The Waymo AV was stopped in traffic while in autonomous mode when the passenger vehicle approached from behind while changing lanes. The passenger vehicle struck the rear of the stopped Waymo AV traveling at 5.5 miles per hour and left the scene. The left rear bumper of the Waymo AV sustained minor damage.",,Yes,Yes,,,,,,,,,,,,,Yes,Yes,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,37.7929,-122.4079,-1,0,1,1,1
